PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1629029,1,Luka Dončić,1610612747,LAL,21,36.6,10.5,22.9,0.458,3.4,10.6,0.32,9.8,12.1,0.807,0.9,7.8,8.6,8.8,1.6,0.5,4.2,34.1,34.7
1628983,2,Shai Gilgeous-Alexander,1610612760,OKC,27,33.2,11,19.8,0.554,2.2,5.1,0.432,8.4,9.5,0.883,0.5,4.2,4.7,6.4,1.4,0.8,1.9,32.5,34.1
1630178,3,Tyrese Maxey,1610612755,PHI,25,39.8,10.9,23.3,0.467,3.8,9.5,0.399,6.1,6.9,0.884,0.3,4.2,4.5,7.1,1.7,0.9,2.6,31.7,30.1
1628378,4,Donovan Mitchell,1610612739,CLE,26,34.4,10.7,21.7,0.493,4,10.5,0.383,5.3,6.3,0.847,0.9,3.7,4.5,5.5,1.4,0.3,3.3,30.7,27.2
203999,5,Nikola Jokić,1610612743,DEN,27,34.9,10.6,17.6,0.605,2.1,4.9,0.421,6.1,7.2,0.841,2.9,9.2,12.1,10.7,1.4,0.7,3.6,29.4,42.7
1627759,6,Jaylen Brown,1610612738,BOS,26,33.8,10.7,21.4,0.5,2.1,5.7,0.365,5.9,7.6,0.777,1.2,5,6.3,5,1.1,0.5,3.7,29.3,26.1
1630162,7,Anthony Edwards,1610612750,MIN,21,34.7,9.6,19.3,0.498,3.3,8,0.419,6,7.1,0.833,0.8,4.5,5.2,3.8,1.3,0.9,3,28.5,25.8
1628973,8,Jalen Brunson,1610612752,NYK,25,35.1,10.1,21.1,0.477,2.7,7.4,0.368,5.5,6.6,0.836,0.7,2.7,3.4,6.5,0.8,0.1,2.2,28.4,24.8
1628374,9,Lauri Markkanen,1610612762,UTA,24,35.3,9.3,19.8,0.469,2.9,8.3,0.352,6.3,7,0.893,2.1,4.9,7,2.1,1,0.4,1.3,27.8,25.8
1630559,10,Austin Reaves,1610612747,LAL,21,36.9,8.5,16.9,0.503,2.8,7.6,0.369,8,9.1,0.875,0.8,4.8,5.6,6.7,1,0.2,3.3,27.8,28.4
1630595,11,Cade Cunningham,1610612765,DET,25,36.2,9.5,20.9,0.453,2,6.4,0.317,6,7.2,0.829,1.3,5,6.4,9.2,1.4,0.8,3.7,27,28.4
201935,12,James Harden,1610612746,LAC,26,35.6,7.5,17.3,0.433,3.6,9.6,0.373,7.3,8.2,0.883,0.6,4.6,5.2,8.2,1.3,0.4,3.9,25.8,26.3
1630166,13,Deni Avdija,1610612757,POR,28,34.7,7.7,16.4,0.471,2.4,6.5,0.37,7.9,9.7,0.816,1.1,6,7.1,6.4,0.7,0.6,3.7,25.8,26.4
1629008,14,Michael Porter Jr.,1610612751,BKN,22,32.6,9.2,18.6,0.493,3.6,9.2,0.396,3.7,4.5,0.818,1.2,6.1,7.3,3.2,0.8,0.2,2.2,25.7,24.7
1626164,15,Devin Booker,1610612756,PHX,25,34.4,8.3,18.2,0.457,1.7,5.7,0.303,7.2,8.4,0.866,0.9,3.2,4.2,6.4,1,0.4,3.5,25.6,23.2
201142,16,Kevin Durant,1610612745,HOU,23,36.3,8.7,16.9,0.515,2,4.6,0.443,6,6.7,0.895,0.3,4.5,4.8,4,0.9,1,3.2,25.4,24
1627750,17,Jamal Murray,1610612743,DEN,26,35,8.8,17.7,0.496,3.3,7.3,0.455,4,4.5,0.888,0.4,3.9,4.3,6.7,1.1,0.3,2.3,24.8,25.4
1626181,18,Norman Powell,1610612748,MIA,23,31.1,8,16.3,0.487,2.9,7.1,0.411,5.3,6.2,0.846,0.3,3.5,3.8,2.5,1.2,0.3,1.9,24.1,20.6
1641718,19,Keyonte George,1610612762,UTA,27,34.2,7.4,16.6,0.445,2.4,6.8,0.353,6.8,7.5,0.906,0.5,3.6,4,6.9,0.9,0.3,3.5,24,22.7
1627783,20,Pascal Siakam,1610612754,IND,27,34,8.6,18.3,0.472,1.7,4.8,0.354,4.8,6.9,0.703,1.6,5.1,6.7,4,1.3,0.5,2.1,23.8,22.5
1630552,21,Jalen Johnson,1610612737,ATL,26,35.1,8.5,16.2,0.521,1.6,4.1,0.396,4.8,5.8,0.827,1.5,9,10.5,8.2,1.5,0.4,3.5,23.3,31.6
1630578,22,Alperen Sengun,1610612745,HOU,23,35.9,8.7,17.5,0.494,0.9,2.7,0.323,4.8,6.6,0.73,3,6.3,9.3,7,1.5,1,3.4,23,27.8
203944,23,Julius Randle,1610612750,MIN,28,33.8,7.6,15.8,0.482,1.7,5,0.343,5.9,7.3,0.818,1.7,5.5,7.2,5.7,1,0.1,2.7,22.9,24.8
1630532,24,Franz Wagner,1610612753,ORL,24,33.4,7.8,15.9,0.49,1.5,4.2,0.36,5.6,6.8,0.823,1.5,4.6,6.1,3.7,1.2,0.4,1.8,22.7,22.9
1626157,25,Karl-Anthony Towns,1610612752,NYK,25,33.3,7.3,15.4,0.474,1.8,5.2,0.354,6,6.8,0.876,3.1,8.8,11.8,3.1,0.8,0.8,2.4,22.4,27.5
1628368,26,De'Aaron Fox,1610612759,SAS,19,31.9,7.7,16.3,0.474,2.3,6.2,0.376,4.3,5.2,0.837,0.8,2.8,3.7,6.1,1.5,0.3,3.1,22.1,21.1
1627742,27,Brandon Ingram,1610612761,TOR,29,34.3,8.2,17.1,0.477,1.8,4.8,0.37,4,4.9,0.811,0.8,5.1,5.8,3.9,0.9,0.6,3.2,22.1,20.2
1631101,28,Shaedon Sharpe,1610612757,POR,24,29,8.1,17.6,0.46,2,6,0.326,3.8,5,0.773,1.2,3.3,4.5,2.5,1.4,0.2,3,22,17
1628415,29,Dillon Brooks,1610612756,PHX,22,30.9,8,17.5,0.456,2.5,7.3,0.338,3.2,4,0.816,0.8,2.4,3.2,1.8,1.3,0.1,2.3,21.7,15.6
1630530,30,Trey Murphy III,1610612740,NOP,27,35.5,7.4,14.9,0.499,2.6,7.1,0.368,3.7,4.1,0.91,1.4,4.9,6.4,3.5,1.6,0.2,2,21.2,23.1
1628970,31,Miles Bridges,1610612766,CHA,28,34.6,7.4,17,0.433,2.5,7.5,0.327,3.9,4.6,0.852,0.9,5.1,6,3.7,0.6,0.5,1.6,21.1,20
1629638,32,Nickeil Alexander-Walker,1610612737,ATL,27,32.7,7,15.4,0.457,2.9,7.5,0.384,3.8,4.4,0.864,0.9,2.9,3.7,3.4,0.9,0.6,2.2,20.7,18.1
203897,33,Zach LaVine,1610612758,SAC,23,32.8,7.2,14.7,0.487,2.7,7,0.385,3.1,3.6,0.867,0.3,2.7,3,2.3,0.7,0.2,2.2,20.2,16.1
