GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-203497-203944-1628978-1630162-1630183-,R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,1610612750,MIN,44,27,17,0.614,572.116667,540,1057,0.511,183,445,0.411,212,284,0.746,141,417,558,329,178,92,69,31,214,239,1475,112,1,1,13744,5493,1,1,1,4152,1,1,4010,1,1,4826,1,1,1,1,13744,1,1,13741,13744,1,1,3,1716350
Lineups,-202699-1629130-1630595-1631105-1641709-,T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,1610612765,DET,31,22,9,0.71,396.096667,392,778,0.504,88,222,0.396,147,205,0.717,117,275,392,249,115,91,37,54,187,173,1019,113,3,2,13708,4878,2,2,2,4184,5,5,4355,2,2,4889,2,2,2,2,13743,2,3,13744,13743,2,2,2,1188290
Lineups,-201142-1629006-1630578-1631095-1641708-,K. Durant - J. Okogie - A. Sengun - J. Smith Jr. - A. Thompson,1610612745,HOU,33,22,11,0.667,343.01,328,628,0.522,75,185,0.405,117,155,0.755,95,221,316,199,98,77,43,34,108,149,848,56,2,2,13730,4903,3,3,3,4059,8,9,4021,3,3,4339,3,3,3,4,13741,3,2,13742,13739,3,3,9,1029030
Lineups,-1629008-1629611-1629651-1641730-1642856-,M. Porter Jr. - T. Mann - N. Claxton - N. Clowney - E. Dëmin,1610612751,BKN,18,7,11,0.389,305.666667,261,553,0.472,102,266,0.383,115,145,0.793,69,188,257,196,99,50,31,23,120,136,739,18,32,139,13730,7251,4,6,6,6252,3,2,4425,4,4,4193,4,7,5,5,13742,7,4,13737,13742,4,5,159,917000
Lineups,-201935-202695-1627739-1627826-1628381-,J. Harden - K. Leonard - K. Dunn - I. Zubac - J. Collins,1610612746,LAC,24,9,15,0.375,303.351667,283,558,0.507,75,196,0.383,94,108,0.87,60,189,249,170,94,58,21,28,100,112,735,25,11,61,13741,7255,5,5,5,4176,8,8,4427,7,7,3540,6,6,6,7,13740,5,13,13739,13737,5,6,80,910055
Lineups,-1629638-1630168-1630552-1630700-1642258-,N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,29,13,16,0.448,298.076667,295,593,0.497,97,242,0.401,98,125,0.784,59,202,261,228,89,64,24,38,118,99,785,2,4,16,13742,7099,6,4,4,6037,4,3,4027,5,5,4224,7,4,4,3,13739,4,7,13743,13741,7,4,3467,894230
Lineups,-1626164-1626220-1628415-1631109-1631221-,D. Booker - R. O'Neale - D. Brooks - M. Williams - C. Gillespie,1610612756,PHX,28,19,9,0.679,266.13,246,506,0.486,85,215,0.395,83,98,0.847,55,188,243,156,83,55,17,15,102,103,660,56,5,4,13708,4902,7,7,7,6078,6,6,4360,9,11,3676,9,7,8,9,13738,6,22,13725,13738,6,9,9,798390
Lineups,-1626157-1628384-1628404-1628969-1628973-,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,1610612752,NYK,24,18,6,0.75,263.083333,246,482,0.51,81,201,0.403,89,102,0.873,43,201,244,171,77,44,19,17,110,94,662,49,11,5,13557,4636,8,7,8,4159,7,7,4024,8,8,3538,16,5,7,6,13737,9,15,13731,13740,8,8,15,789250
Lineups,-1628970-1630163-1631217-1641706-1642851-,M. Bridges - L. Ball - M. Diabaté - B. Miller - K. Knueppel,1610612766,CHA,26,18,8,0.692,242.348333,240,456,0.526,107,231,0.463,83,97,0.856,62,177,239,162,62,26,23,20,76,79,670,137,10,5,13678,4895,9,9,9,4009,2,4,3633,9,12,3659,5,9,9,8,13733,22,8,13734,13732,14,7,1,727045
Lineups,-2544-203935-1629028-1629029-1631222-,L. James - M. Smart - D. Ayton - L. Dončić - J. LaRavia,1610612747,LAL,18,11,7,0.611,225.618333,215,408,0.527,46,143,0.322,77,91,0.846,45,159,204,143,69,33,23,8,68,74,553,-25,32,28,13630,5494,10,10,10,4005,20,15,5654,12,14,3677,14,10,10,10,13736,14,8,13640,13726,15,10,13701,676855
