GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,25,1,1,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,412,359,1,1,441,339,381,339,227,315,227,284,296,284,271,337,356,311,270,237,174,1,1,315,359,175,398,193,22,399,1
Players,1631260,AJ Green,AJ,1610612749,MIL,26,25,14,11,0.56,91.1816666666667,6,24,0.25,5,23,0.217,4,6,0.667,1,2,3,1,2,0,0,2,10,7,21,23,24.1,0,0,30,49,40,363,159,42,143,83,311,42,16,193,140,127,205,183,248,251,234,119,237,174,371,397,93,132,44,211,193,22,179,1
Players,1642358,AJ Johnson,AJ,1610612742,DAL,21,2,1,1,0.5,5.98333333333333,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,0,0,2,383,359,34,189,349,339,340,339,227,263,227,284,296,284,271,337,356,177,270,237,174,1,1,315,359,128,365,193,22,369,2
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,30,8,4,4,0.5,34.9633333333333,7,15,0.467,2,4,0.5,4,5,0.8,0,6,6,3,2,1,0,2,6,4,20,-6,32.7,3,0,33,279,260,158,189,206,123,138,155,111,173,39,140,150,147,271,135,184,135,119,140,174,371,304,143,139,308,179,74,22,167,1
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,29,14,7,7,0.5,16.1983333333333,2,8,0.25,2,7,0.286,3,4,0.75,2,0,2,2,1,2,0,0,4,5,9,-13,19.4,0,0,19,195,174,245,189,279,246,205,311,111,122,153,168,174,173,117,337,284,177,183,78,174,1,242,124,222,372,236,193,22,230,1
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,26,16,7,9,0.438,56.19,7,15,0.467,2,9,0.222,3,6,0.5,5,10,15,3,1,1,3,0,9,7,19,-3,52.5,0,0,47,160,174,309,291,131,123,138,155,111,90,187,168,127,242,36,70,59,135,183,140,29,1,381,93,146,257,112,193,22,120,1
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,27,16,10,6,0.625,33.4133333333333,3,8,0.375,3,8,0.375,1,3,0.333,2,3,5,2,1,0,1,0,5,1,10,0,21,0,0,22,160,104,224,103,210,209,205,233,78,103,90,243,205,278,117,222,205,177,183,237,92,1,273,247,213,204,228,193,22,216,1
Players,1642846,Ace Bailey,Ace,1610612762,UTA,19,18,6,12,0.333,52.49,7,16,0.438,2,7,0.286,0,1,0,1,8,9,4,2,2,0,1,6,0,16,-3,36.8,0,0,35,135,208,376,356,138,123,129,184,111,122,153,284,273,284,183,102,129,102,119,78,174,275,304,315,162,257,157,193,22,159,1
Players,1641737,Adem Bona,Adem,1610612755,PHI,22,14,7,7,0.5,47.485,3,4,0.75,0,0,0,0,2,0,4,3,7,2,2,0,4,0,6,4,6,2,27.4,0,0,23,195,174,245,189,157,209,268,33,227,315,227,284,223,284,57,222,160,177,119,237,15,1,304,143,256,175,195,193,22,209,1
Players,1642349,Ajay Mitchell,Ajay,1610612760,OKC,23,16,11,5,0.688,40.7516666666667,8,16,0.5,1,5,0.2,8,8,1,0,2,2,2,0,2,0,0,3,7,25,39,36.4,0,0,34,160,90,193,76,175,106,129,108,157,159,196,91,104,1,271,248,284,177,270,78,174,1,207,93,115,15,161,193,22,163,1
Players,201143,Al Horford,Al,1610612744,GSW,39,15,7,8,0.467,36.2783333333333,4,10,0.4,2,6,0.333,1,1,1,5,3,8,4,2,2,1,0,2,1,11,4,33.6,0,0,31,181,174,275,269,203,180,186,211,111,140,108,243,273,1,36,222,140,102,119,78,92,1,162,247,200,148,174,193,22,173,1
Players,1627936,Alex Caruso,Alex,1610612760,OKC,32,15,10,5,0.667,45.6483333333333,5,16,0.313,4,8,0.5,0,0,0,5,7,12,3,2,3,2,2,5,0,14,19,45.9,0,0,43,181,104,193,79,167,160,129,289,62,103,39,284,296,284,36,117,87,135,119,39,54,371,273,315,174,63,133,193,22,130,1
Players,1642259,Alex Sarr,Alex,1610612764,WAS,20,14,7,7,0.5,59.8433333333333,10,20,0.5,2,6,0.333,5,8,0.625,3,11,14,2,3,1,5,3,7,5,27,-15,61.8,7,0,57,195,174,245,189,120,79,101,108,111,140,108,121,104,225,82,61,67,177,82,140,9,408,339,124,106,388,89,30,22,95,1
Players,1642918,Alijah Martin,Alijah,1610612761,TOR,24,1,1,0,1,9.8,0,3,0,0,2,0,1,2,0.5,0,1,1,0,0,2,1,0,1,1,1,4,11.2,0,0,8,412,359,1,1,323,339,285,339,227,223,227,243,223,242,271,289,314,311,270,78,92,1,98,247,353,148,283,193,22,303,1
Players,1631214,Alondes Williams,Alondes,1610612764,WAS,26,2,2,0,1,2.39166666666667,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,3.5,1,0,3,383,326,1,1,396,290,340,1,227,315,227,284,296,284,271,337,356,234,270,237,174,1,1,315,320,101,360,129,22,358,1
Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,23,30,15,15,0.5,130.361666666667,32,74,0.432,0,5,0,16,29,0.552,17,17,34,16,14,4,5,10,20,21,80,22,157.8,17,2,148,12,30,421,189,10,8,5,187,227,159,227,35,15,239,1,20,3,10,3,20,9,457,455,11,13,51,10,5,5,9,1
Players,1642873,Amari Williams,Amari,1610612738,BOS,24,3,3,0,1,5.16166666666667,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,3,9,7.5,0,0,6,363,287,1,1,360,290,340,1,227,315,227,243,273,1,271,337,356,234,270,237,92,1,1,247,303,104,316,193,22,321,1
Players,1641708,Amen Thompson,Amen,1610612745,HOU,23,32,14,18,0.438,138.708333333333,21,45,0.467,0,3,0,17,22,0.773,9,17,26,10,11,5,1,3,14,16,59,-16,112.2,11,0,107,7,40,446,291,5,24,29,155,227,196,227,27,29,167,13,20,16,33,8,9,92,408,436,26,33,394,25,15,22,26,1
Players,1629599,Amir Coffey,Amir,1610612756,PHX,28,3,2,1,0.667,3.32833333333333,0,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,363,326,34,79,381,339,381,339,227,315,227,243,223,242,271,337,356,311,270,237,174,1,162,215,353,204,395,193,22,379,2
Players,203083,Andre Drummond,Andre,1610612755,PHI,32,11,6,5,0.545,29.865,3,6,0.5,0,1,0,4,5,0.8,4,8,12,0,1,0,1,0,3,3,10,8,26.4,8,0,24,234,208,193,167,223,209,233,108,227,263,227,140,150,147,57,102,87,311,183,237,92,1,207,173,213,113,200,26,22,203,1
