PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT
1630639,A.J. Lawson,1610612761,TOR,25,A.J.,7,14,0.5,1,5,0.2,0,0,0,4,9,0.444,1,6,0.167,3,7,0.429,0,0,0,5,15,0.333
1631260,AJ Green,1610612749,MIL,26,AJ,8,13,0.615,8,13,0.615,5,15,0.333,28,57,0.491,26,49,0.531,97,244,0.398,0,0,0,54,106,0.509
1642358,AJ Johnson,1610612742,DAL,21,AJ,13,35,0.371,7,23,0.304,0,3,0,0,0,0,1,4,0.25,6,23,0.261,0,0,0,1,4,0.25
203932,Aaron Gordon,1610612743,DEN,30,Aaron,66,86,0.767,18,47,0.383,13,35,0.371,5,14,0.357,3,9,0.333,34,82,0.415,0,0,0,8,23,0.348
1628988,Aaron Holiday,1610612745,HOU,29,Aaron,6,13,0.462,14,30,0.467,3,10,0.3,10,18,0.556,5,14,0.357,27,76,0.355,0,0,0,15,32,0.469
1630174,Aaron Nesmith,1610612754,IND,26,Aaron,34,71,0.479,21,58,0.362,13,36,0.361,5,12,0.417,17,42,0.405,54,151,0.358,0,0,0,22,54,0.407
1630598,Aaron Wiggins,1610612760,OKC,27,Aaron,60,99,0.606,22,59,0.373,4,11,0.364,13,41,0.317,10,21,0.476,52,132,0.394,0,0,0,23,62,0.371
1642846,Ace Bailey,1610612762,UTA,19,Ace,82,123,0.667,37,68,0.544,41,112,0.366,10,30,0.333,13,48,0.271,50,137,0.365,0,0,0,23,78,0.295
1641737,Adem Bona,1610612755,PHI,22,Adem,62,102,0.608,5,12,0.417,0,0,0,1,4,0.25,0,0,0,1,1,1,0,0,0,1,4,0.25
1642876,Adou Thiero,1610612747,LAL,21,Adou,7,13,0.538,2,6,0.333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1642349,Ajay Mitchell,1610612760,OKC,23,Ajay,87,130,0.669,76,149,0.51,11,40,0.275,13,32,0.406,4,10,0.4,31,95,0.326,0,0,0,17,42,0.405
201143,Al Horford,1610612744,GSW,39,Al,18,28,0.643,22,37,0.595,7,14,0.5,4,14,0.286,9,22,0.409,36,109,0.33,0,0,0,13,36,0.361
1627936,Alex Caruso,1610612760,OKC,31,Alex,37,51,0.725,5,20,0.25,4,5,0.8,6,26,0.231,5,26,0.192,28,68,0.412,0,0,0,11,52,0.212
1642259,Alex Sarr,1610612764,WAS,20,Alex,151,210,0.719,76,191,0.398,18,55,0.327,2,5,0.4,1,4,0.25,37,110,0.336,0,0,0,3,9,0.333
1642918,Alijah Martin,1610612761,TOR,24,Alijah,5,9,0.556,4,10,0.4,0,1,0,0,4,0,0,0,0,2,8,0.25,0,0,0,0,4,0
1630578,Alperen Sengun,1610612745,HOU,23,Alperen,187,278,0.673,128,297,0.431,29,82,0.354,1,3,0.333,2,4,0.5,23,80,0.288,0,0,0,3,7,0.429
1642873,Amari Williams,1610612738,BOS,24,Amari,6,11,0.545,1,4,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1641708,Amen Thompson,1610612745,HOU,23,Amen,227,322,0.705,87,212,0.41,21,77,0.273,5,22,0.227,6,30,0.2,7,35,0.2,0,1,0,11,52,0.212
1629599,Amir Coffey,1610612756,PHX,28,Amir,13,14,0.929,4,9,0.444,5,12,0.417,1,8,0.125,5,13,0.385,3,10,0.3,0,0,0,6,21,0.286
203083,Andre Drummond,1610612755,PHI,32,Andre,77,138,0.558,13,27,0.481,0,1,0,8,24,0.333,9,18,0.5,2,9,0.222,0,0,0,17,42,0.405
1641748,Andre Jackson Jr.,1610612749,MIL,24,Andre,6,9,0.667,1,9,0.111,0,1,0,1,4,0.25,0,6,0,4,16,0.25,0,0,0,1,10,0.1
1629614,Andrew Nembhard,1610612754,IND,26,Andrew,66,107,0.617,54,115,0.47,59,144,0.41,2,11,0.182,3,11,0.273,78,206,0.379,0,0,0,5,22,0.227
203952,Andrew Wiggins,1610612748,MIA,30,Andrew,118,179,0.659,54,140,0.386,35,81,0.432,19,40,0.475,7,19,0.368,72,189,0.381,0,0,0,26,59,0.441
1629014,Anfernee Simons,1610612741,CHI,26,Anfernee,38,54,0.704,56,104,0.538,40,99,0.404,8,20,0.4,8,15,0.533,126,332,0.38,0,0,0,16,35,0.457
1641710,Anthony Black,1610612753,ORL,22,Anthony,154,227,0.678,46,127,0.362,17,54,0.315,21,46,0.457,14,33,0.424,53,177,0.299,1,1,1,35,79,0.443
203076,Anthony Davis,1610612764,WAS,32,Anthony,93,141,0.66,38,82,0.463,28,74,0.378,0,2,0,2,4,0.5,8,31,0.258,0,0,0,2,6,0.333
