PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1630639,A.J. Lawson,A.J.,1610612761,TOR,25,2,0,2,0,16.3483333333333,4,10,0.4,2,4,0.5,2,2,1,1,4,5,0,0,0,2,1,5,1,12,-7,24,0,0,23,481,481,32,481,479,444,445,379,382,414,16,420,435,1,442,444,448,481,470,466,341,66,63,457,445,257,452,175,21,452,1
1631260,AJ Green,AJ,1610612749,MIL,26,27,11,16,0.407,769.491666666667,90,195,0.462,82,179,0.458,21,26,0.808,3,71,74,57,25,15,3,6,74,35,283,0,486.3,0,0,532,124,203,414,321,97,163,170,243,11,32,39,243,259,168,406,167,213,149,203,219,299,232,457,199,144,227,184,175,21,158,1
1642358,AJ Johnson,AJ,1610612764,WAS,21,12,0,12,0,50.7,2,16,0.125,0,3,0,3,4,0.75,2,5,7,5,2,0,0,5,4,3,7,-18,20.9,0,0,19,377,481,320,481,431,466,425,490,429,422,429,398,406,264,423,435,436,407,430,466,429,200,54,422,460,306,461,175,21,457,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30,13,10,3,0.769,368.315,82,154,0.532,28,63,0.444,52,60,0.867,19,58,77,17,18,10,3,5,24,44,244,165,382.9,2,0,392,364,223,59,50,267,186,216,91,176,215,46,105,120,90,192,199,210,325,262,283,299,200,175,160,171,24,243,86,21,229,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29,22,16,6,0.727,338.598333333333,53,122,0.434,36,83,0.434,25,29,0.862,3,19,22,23,21,8,3,5,31,29,167,54,239.9,0,0,270,231,79,142,73,283,262,254,311,132,169,58,218,244,97,406,364,378,285,240,305,299,200,218,227,243,90,310,175,21,290,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26,11,1,10,0.091,334.56,54,147,0.367,31,83,0.373,31,39,0.795,17,32,49,17,8,9,3,10,27,38,170,-43,282.3,0,0,291,392,460,256,480,288,259,225,419,152,169,162,190,195,197,219,309,293,325,360,296,299,317,191,183,240,375,292,175,21,278,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26,18,14,4,0.778,411.468333333333,75,166,0.452,37,91,0.407,11,15,0.733,13,38,51,30,21,10,10,6,33,12,198,118,343.2,0,0,356,309,130,84,42,241,201,203,270,126,148,95,319,324,290,255,283,286,252,240,283,151,232,234,335,212,43,257,175,21,246,1
1642846,Ace Bailey,Ace,1610612762,UTA,19,29,10,19,0.345,703.321666666667,123,279,0.441,45,126,0.357,20,30,0.667,42,54,96,46,37,21,10,7,74,29,311,-160,551.2,0,0,560,59,223,459,358,118,113,99,292,93,91,205,250,239,353,68,217,171,191,121,141,151,265,457,227,131,493,152,175,21,143,1
1641737,Adem Bona,Adem,1610612755,PHI,22,20,13,7,0.65,331.566666666667,27,49,0.551,2,4,0.5,20,32,0.625,34,40,74,3,14,7,30,5,44,32,76,32,266.3,0,0,229,280,158,173,116,290,342,360,79,382,414,16,250,224,388,99,272,213,428,294,318,22,200,291,209,343,123,298,175,21,309,1
1642876,Adou Thiero,Adou,1610612747,LAL,21,13,7,6,0.538,77.9533333333333,6,14,0.429,0,1,0,6,8,0.75,6,6,12,3,4,4,0,2,14,5,18,-2,44.9,0,0,41,364,293,142,206,417,427,430,325,429,443,429,364,367,264,345,425,413,428,400,378,429,111,121,397,427,236,424,175,21,425,1
