CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1642270,Donovan Clingan,1610612757,POR,C,21,52,52,1,486,1059,0.459,0.492,-0.033
203497,Rudy Gobert,1610612750,MIN,C,33,54,54,1,408,921,0.443,0.493,-0.05
1642852,Derik Queen,1610612740,NOP,C,21,55,55,1,420,896,0.469,0.493,-0.024
202696,Nikola Vučević,1610612738,BOS,C,35,51,51,1,418,843,0.496,0.49,0.006
1630578,Alperen Sengun,1610612745,HOU,C,23,45,45,1,394,800,0.493,0.489,0.003
1630567,Scottie Barnes,1610612761,TOR,F-G,24,54,54,1,382,798,0.479,0.471,0.008
1641739,Toumani Camara,1610612757,POR,F,25,56,56,1,398,796,0.5,0.474,0.026
1630183,Jaden McDaniels,1610612750,MIN,F,25,54,54,1,354,786,0.45,0.475,-0.024
1641824,Matas Buzelis,1610612741,CHI,F,21,55,55,1,370,781,0.474,0.471,0.003
1628401,Derrick White,1610612738,BOS,G,31,52,52,1,334,774,0.432,0.461,-0.03
1626167,Myles Turner,1610612749,MIL,C-F,29,50,50,1,362,760,0.476,0.487,-0.01
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25,50,50,1,373,758,0.492,0.493,-0.001
1630700,Dyson Daniels,1610612737,ATL,G,22,53,53,1,354,755,0.469,0.472,-0.003
1642259,Alex Sarr,1610612764,WAS,C,20,41,41,1,370,747,0.495,0.495,0
1642843,Cooper Flagg,1610612742,DAL,F,19,49,49,1,339,742,0.457,0.468,-0.011
1630596,Evan Mobley,1610612739,CLE,C,24,42,42,1,319,732,0.436,0.487,-0.051
1642851,Kon Knueppel,1610612766,CHA,G-F,20,54,54,1,318,725,0.439,0.47,-0.031
1641710,Anthony Black,1610612753,ORL,G,22,53,53,1,354,725,0.488,0.463,0.026
1631109,Mark Williams,1610612756,PHX,C,24,50,50,1,370,721,0.513,0.497,0.016
1628991,Jaren Jackson Jr.,1610612762,UTA,F-C,26,48,48,1,307,717,0.428,0.481,-0.053
1629638,Nickeil Alexander-Walker,1610612737,ATL,G,27,54,54,1,371,716,0.518,0.463,0.055
1627750,Jamal Murray,1610612743,DEN,G,28,50,50,1,344,716,0.48,0.459,0.021
1628436,Luke Kornet,1610612759,SAS,C-F,30,44,44,1,309,713,0.433,0.494,-0.06
1630530,Trey Murphy III,1610612740,NOP,F,25,52,52,1,360,711,0.506,0.471,0.035
1627783,Pascal Siakam,1610612754,IND,F,31,51,51,1,344,706,0.487,0.48,0.008
1642273,Kyshawn George,1610612764,WAS,F,22,43,43,1,334,704,0.474,0.47,0.004
1631096,Chet Holmgren,1610612760,OKC,C-F,23,49,49,1,292,704,0.415,0.481,-0.066
203952,Andrew Wiggins,1610612748,MIA,F,30,50,50,1,324,701,0.462,0.473,-0.01
1629029,Luka Dončić,1610612747,LAL,F-G,26,42,42,1,334,696,0.48,0.471,0.009
203999,Nikola Jokić,1610612743,DEN,C,31,39,39,1,358,691,0.518,0.486,0.033
1628969,Mikal Bridges,1610612752,NYK,G-F,29,55,55,1,321,686,0.468,0.47,-0.002
1631095,Jabari Smith Jr.,1610612745,HOU,F,22,52,52,1,315,684,0.461,0.469,-0.008
1629651,Nic Claxton,1610612751,BKN,C,26,50,50,1,318,679,0.468,0.487,-0.018
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,30,51,51,1,315,678,0.465,0.483,-0.018
1631170,Jaime Jaquez Jr.,1610612748,MIA,G,25,51,51,1,309,677,0.456,0.464,-0.008
1627826,Ivica Zubac,1610612754,IND,C,28,43,43,1,307,673,0.456,0.495,-0.039
1641705,Victor Wembanyama,1610612759,SAS,F-C,22,40,40,1,277,666,0.416,0.492,-0.076
1631217,Moussa Diabaté,1610612766,CHA,F,24,50,50,1,328,666,0.492,0.488,0.004
1630178,Tyrese Maxey,1610612755,PHI,G,25,52,52,1,304,662,0.459,0.459,0.001
203944,Julius Randle,1610612750,MIN,F-C,31,56,56,1,320,662,0.483,0.483,0
1631212,Peyton Watson,1610612743,DEN,G,23,49,49,1,308,662,0.465,0.469,-0.003
1630552,Jalen Johnson,1610612737,ATL,F,24,50,50,1,315,660,0.477,0.475,0.002
1631222,Jake LaRavia,1610612747,LAL,F,24,54,54,1,325,658,0.494,0.471,0.023
1631157,Ryan Rollins,1610612749,MIL,G,23,51,51,1,298,656,0.454,0.46,-0.006
1641730,Noah Clowney,1610612751,BKN,F-C,21,47,47,1,345,653,0.528,0.477,0.051
1629028,Deandre Ayton,1610612747,LAL,C,27,46,46,1,318,649,0.49,0.486,0.004
203468,CJ McCollum,1610612737,ATL,G,34,51,51,1,302,647,0.467,0.458,0.009
1642847,Jeremiah Fears,1610612740,NOP,G,19,56,56,1,329,646,0.509,0.467,0.042
1628389,Bam Adebayo,1610612748,MIA,C-F,28,48,48,1,283,644,0.439,0.482,-0.043
1642276,Kel'el Ware,1610612748,MIA,C,21,52,52,1,305,644,0.474,0.499,-0.026
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26,51,51,1,307,641,0.479,0.492,-0.013
1642845,VJ Edgecombe,1610612755,PHI,G,20,50,50,1,300,640,0.469,0.464,0.005
1628973,Jalen Brunson,1610612752,NYK,G,29,49,49,1,307,633,0.485,0.461,0.024
1630595,Cade Cunningham,1610612765,DET,G,24,47,47,1,273,632,0.432,0.463,-0.031
1641717,Cason Wallace,1610612760,OKC,G,22,53,53,1,279,631,0.442,0.465,-0.023
1641718,Keyonte George,1610612762,UTA,G,22,48,48,1,325,629,0.517,0.468,0.049
1629674,Neemias Queta,1610612738,BOS,C,26,50,50,1,283,626,0.452,0.49,-0.038
1631260,AJ Green,1610612749,MIL,G,26,49,49,1,288,620,0.465,0.46,0.005
1642271,Kyle Filipowski,1610612762,UTA,C,22,55,55,1,306,619,0.494,0.478,0.016
1628404,Josh Hart,1610612752,NYK,G,30,43,43,1,286,616,0.464,0.473,-0.009
1631108,Max Christie,1610612742,DAL,G,23,50,50,1,284,614,0.463,0.468,-0.005
1642875,Maxime Raynaud,1610612758,SAC,C,22,48,48,1,315,614,0.513,0.493,0.02
1628970,Miles Bridges,1610612766,CHA,F,27,53,53,1,276,609,0.453,0.479,-0.026
1630583,Santi Aldama,1610612763,MEM,F-C,25,43,43,1,292,605,0.483,0.479,0.003
201935,James Harden,1610612739,CLE,G,36,47,47,1,285,602,0.473,0.467,0.006
201142,Kevin Durant,1610612745,HOU,F,37,50,50,1,259,601,0.431,0.469,-0.038
1628978,Donte DiVincenzo,1610612750,MIN,G,29,56,56,1,282,600,0.47,0.464,0.006
1626220,Royce O'Neale,1610612756,PHX,F,32,55,55,1,285,599,0.476,0.479,-0.003
1630572,Sandro Mamukelashvili,1610612761,TOR,F-C,26,53,53,1,281,598,0.47,0.472,-0.002
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,27,49,49,1,253,597,0.424,0.462,-0.039
1630166,Deni Avdija,1610612757,POR,F,25,46,46,1,295,594,0.497,0.474,0.023
1630230,Naji Marshall,1610612742,DAL,F,28,53,53,1,284,592,0.48,0.476,0.003
1628415,Dillon Brooks,1610612756,PHX,G-F,30,49,49,1,278,592,0.47,0.474,-0.004
1630643,Jay Huff,1610612754,IND,C,28,54,54,1,273,589,0.463,0.491,-0.027
1642263,Reed Sheppard,1610612745,HOU,G,21,53,53,1,278,588,0.473,0.459,0.014
1631221,Collin Gillespie,1610612756,PHX,G,26,54,54,1,278,587,0.474,0.464,0.01
1629023,P.J. Washington,1610612742,DAL,F,27,39,39,1,266,581,0.458,0.48,-0.022
1628381,John Collins,1610612746,LAC,F-C,28,51,51,1,245,581,0.422,0.469,-0.047
1630217,Desmond Bane,1610612753,ORL,G,27,53,53,1,251,579,0.434,0.461,-0.027
