TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1610612760,Oklahoma City Thunder,OKC,26,26,1,37.08,86.92,0.427,0.462,-0.036
1610612748,Miami Heat,MIA,26,26,1,42.77,95.58,0.447,0.47,-0.023
1610612738,Boston Celtics,BOS,26,26,1,38.35,85.04,0.451,0.47,-0.019
1610612765,Detroit Pistons,DET,26,26,1,38.42,86,0.447,0.466,-0.019
1610612745,Houston Rockets,HOU,23,23,1,40.43,87.96,0.46,0.471,-0.011
1610612755,Philadelphia 76ers,PHI,25,25,1,41.96,91.2,0.46,0.47,-0.01
1610612742,Dallas Mavericks,DAL,27,27,1,42.7,92.19,0.463,0.473,-0.01
1610612752,New York Knicks,NYK,25,25,1,39.8,86.6,0.46,0.469,-0.009
1610612744,Golden State Warriors,GSW,27,27,1,41.19,89.15,0.462,0.47,-0.008
1610612739,Cleveland Cavaliers,CLE,27,27,1,40.67,88.11,0.462,0.469,-0.007
1610612750,Minnesota Timberwolves,MIN,26,26,1,41.12,88.85,0.463,0.469,-0.006
1610612763,Memphis Grizzlies,MEM,26,26,1,42.27,90,0.47,0.471,-0.002
1610612737,Atlanta Hawks,ATL,27,27,1,42.11,89.78,0.469,0.47,-0.001
1610612761,Toronto Raptors,TOR,27,27,1,39.7,85.7,0.463,0.465,-0.001
1610612759,San Antonio Spurs,SAS,25,25,1,41.84,89.08,0.47,0.47,-0.001
1610612743,Denver Nuggets,DEN,25,25,1,42.24,90.52,0.467,0.465,0.002
1610612756,Phoenix Suns,PHX,26,26,1,41,85.62,0.479,0.476,0.003
1610612754,Indiana Pacers,IND,26,26,1,42.08,88.5,0.475,0.471,0.004
1610612757,Portland Trail Blazers,POR,26,26,1,43,89.46,0.481,0.476,0.005
1610612753,Orlando Magic,ORL,26,26,1,41.69,87.54,0.476,0.471,0.006
1610612749,Milwaukee Bucks,MIL,27,27,1,41.41,87.63,0.473,0.466,0.006
1610612746,LA Clippers,LAC,26,26,1,41.96,87.58,0.479,0.469,0.01
1610612741,Chicago Bulls,CHI,25,25,1,44.76,93.84,0.477,0.466,0.011
1610612764,Washington Wizards,WAS,24,24,1,45.58,94.88,0.48,0.469,0.012
1610612747,Los Angeles Lakers,LAL,25,25,1,42,87.16,0.482,0.468,0.014
1610612758,Sacramento Kings,SAC,26,26,1,44.69,89.58,0.499,0.482,0.017
1610612762,Utah Jazz,UTA,25,25,1,44.76,91.64,0.488,0.471,0.017
1610612766,Charlotte Hornets,CHA,26,26,1,44.35,90.38,0.491,0.474,0.017
1610612740,New Orleans Pelicans,NOP,27,27,1,44.07,89.56,0.492,0.474,0.018
1610612751,Brooklyn Nets,BKN,25,25,1,42.24,85.96,0.491,0.47,0.022
