TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,30,15,15,0.5,111.07,87,187,0.465,25,70,0.357,69,85,0.812,20,73,93,55,30,21,15,14,64,64,268,0,15,16,14,15,17,15,20,8,17,24,11,17,17,9,25,16,21,8,16,8,11,19,13,16,17,15
1610612738,Boston Celtics,27,12,15,0.444,89.14,68,152,0.447,26,70,0.371,56,75,0.747,17,61,78,38,26,11,6,5,58,53,218,3,23,21,14,22,27,25,27,13,13,24,8,21,21,21,27,25,26,24,11,25,28,2,9,23,25,13
1610612751,Brooklyn Nets,27,6,21,0.222,83.613333,49,141,0.348,20,73,0.274,41,47,0.872,20,43,63,28,22,8,8,12,55,38,159,-65,23,30,27,30,28,30,29,30,19,21,21,30,30,3,25,30,29,30,6,29,21,13,7,30,30,29
1610612766,Charlotte Hornets,27,10,17,0.37,104.801667,68,179,0.38,19,83,0.229,66,74,0.892,23,72,95,32,25,10,9,9,56,53,221,-21,23,27,19,26,23,25,21,29,24,14,27,19,22,1,19,18,19,29,10,26,19,9,8,23,24,23
1610612741,Chicago Bulls,36,19,17,0.528,144.283333,114,250,0.456,31,95,0.326,82,104,0.788,28,110,138,75,41,16,10,24,67,71,341,-9,2,5,19,14,6,3,5,9,8,4,14,11,11,15,15,2,5,1,25,19,18,30,17,12,5,19
1610612739,Cleveland Cavaliers,33,16,17,0.485,108.128333,79,196,0.403,26,81,0.321,86,108,0.796,35,77,112,43,29,18,5,9,59,80,270,12,9,13,19,17,19,20,18,25,13,15,16,9,9,12,7,14,11,20,13,16,29,9,10,9,16,11
1610612742,Dallas Mavericks,39,15,24,0.385,150.923333,105,251,0.418,23,89,0.258,99,130,0.762,34,112,146,48,35,12,21,14,88,86,332,-22,1,16,30,24,4,8,4,22,18,10,24,5,5,18,9,1,2,15,19,24,3,19,28,5,7,24
1610612743,Denver Nuggets,33,16,17,0.485,158.488333,107,246,0.435,33,108,0.306,130,161,0.807,22,94,116,51,44,13,22,15,79,108,377,-44,9,13,19,17,2,5,6,15,6,2,18,1,1,11,23,5,9,11,28,21,2,21,25,1,2,26
1610612765,Detroit Pistons,36,25,11,0.694,127.6,107,240,0.446,18,75,0.24,102,134,0.761,46,92,138,48,39,20,20,19,79,89,334,61,2,1,5,2,8,5,7,14,27,20,26,4,3,19,2,6,5,15,23,10,4,25,25,3,6,2
1610612744,Golden State Warriors,29,12,17,0.414,110.641667,91,201,0.453,34,90,0.378,46,62,0.742,25,68,93,61,30,24,8,6,77,48,262,-16,19,21,19,23,18,14,14,12,4,9,6,27,27,23,17,20,21,4,16,4,21,3,21,27,19,21
1610612745,Houston Rockets,35,17,18,0.486,162.736667,127,293,0.433,29,92,0.315,96,131,0.733,56,91,147,66,52,22,17,19,97,97,379,-2,5,9,24,16,1,1,1,16,10,6,17,6,4,26,1,8,1,3,30,7,6,25,30,2,1,17
1610612754,Indiana Pacers,30,10,20,0.333,112.573333,75,177,0.424,13,71,0.183,55,81,0.679,24,82,106,33,34,20,13,7,77,54,218,-56,15,27,26,28,15,22,22,19,30,23,30,22,18,29,18,11,15,28,18,10,14,6,21,21,25,27
1610612746,LA Clippers,26,12,14,0.462,107.693333,70,167,0.419,16,70,0.229,107,122,0.877,15,68,83,39,29,19,15,9,64,73,263,0,27,21,13,20,21,24,25,21,29,24,28,2,6,2,29,20,24,23,13,14,11,9,13,10,18,15
1610612747,Los Angeles Lakers,23,17,6,0.739,65.28,57,113,0.504,19,50,0.38,47,58,0.81,15,47,62,34,11,8,7,3,29,42,180,44,29,9,1,1,30,29,30,1,24,30,5,26,28,10,29,29,30,27,1,29,24,1,1,29,29,5
1610612763,Memphis Grizzlies,35,12,23,0.343,125.64,86,224,0.384,27,91,0.297,50,69,0.725,39,92,131,56,41,20,18,19,61,54,249,-64,5,21,28,27,11,17,9,28,12,7,19,24,24,27,4,6,7,6,25,10,5,25,11,21,20,28
1610612748,Miami Heat,28,15,13,0.536,90.478333,66,154,0.429,20,55,0.364,64,81,0.79,17,57,74,40,16,13,7,6,45,56,216,-12,21,16,10,13,26,27,26,17,19,29,9,20,18,14,27,27,27,22,2,21,24,3,2,19,27,20
1610612749,Milwaukee Bucks,31,18,13,0.581,117.393333,102,204,0.5,34,88,0.386,53,72,0.736,29,87,116,54,36,13,13,12,73,59,291,26,12,8,10,7,12,9,12,2,4,11,3,23,23,25,12,10,9,10,20,21,14,13,18,18,11,7
1610612750,Minnesota Timberwolves,28,16,12,0.571,106.675,94,196,0.48,26,80,0.325,70,88,0.795,27,68,95,47,39,20,9,8,84,56,284,18,21,13,7,8,22,12,18,3,13,17,15,16,16,13,16,20,19,17,23,10,19,8,27,19,13,9
1610612740,New Orleans Pelicans,34,11,23,0.324,129.195,87,207,0.42,18,67,0.269,82,94,0.872,22,74,96,51,36,28,12,22,78,66,274,-67,8,26,28,29,7,15,10,20,27,27,23,11,14,3,23,15,18,11,20,2,16,29,24,14,15,30
1610612752,New York Knicks,27,15,12,0.556,95.643333,81,174,0.466,35,84,0.417,42,64,0.656,23,66,89,45,19,14,7,6,53,50,239,30,23,16,7,10,25,19,24,7,3,12,1,28,26,30,19,23,23,19,3,20,24,3,6,26,21,6
1610612760,Oklahoma City Thunder,30,20,10,0.667,127.258333,107,235,0.455,38,109,0.349,94,115,0.817,37,90,127,50,21,24,8,12,64,85,346,80,15,3,2,4,9,5,8,10,2,1,12,7,8,8,6,9,8,14,5,4,21,13,13,6,4,1
1610612753,Orlando Magic,31,20,11,0.645,147.651667,110,273,0.403,20,91,0.22,83,107,0.776,40,104,144,59,29,21,16,21,75,87,323,-7,12,3,5,5,5,4,2,26,19,7,29,10,10,17,3,4,3,5,13,8,8,28,19,4,9,18
1610612755,Philadelphia 76ers,35,19,16,0.543,157.69,125,263,0.475,39,104,0.375,81,99,0.818,33,107,140,69,42,23,25,16,63,84,370,55,5,5,16,12,3,2,3,4,1,3,7,13,13,7,10,3,4,2,27,6,1,23,12,7,3,3
1610612756,Phoenix Suns,30,17,13,0.567,113.37,86,201,0.428,26,95,0.274,80,102,0.784,30,72,102,43,28,26,7,12,75,70,278,9,15,9,10,9,14,17,14,18,13,4,22,14,12,16,11,18,16,20,12,3,24,13,19,13,14,12
1610612757,Portland Trail Blazers,36,17,19,0.472,126.13,95,201,0.473,31,80,0.388,103,136,0.757,29,82,111,55,51,17,16,18,89,84,324,-26,2,9,25,19,10,11,14,5,8,17,2,3,2,20,12,11,13,8,29,18,8,24,29,7,8,25
1610612758,Sacramento Kings,26,10,16,0.385,100.64,72,175,0.411,20,72,0.278,67,78,0.859,23,59,82,38,24,31,3,7,64,61,231,-16,27,27,16,24,24,23,23,23,19,22,20,18,20,5,19,26,25,24,7,1,30,6,13,17,22,21
1610612759,San Antonio Spurs,32,22,10,0.688,111.421667,96,205,0.468,32,84,0.381,87,122,0.713,39,73,112,56,24,10,17,11,52,73,311,51,11,2,2,3,16,10,11,6,7,12,4,8,6,28,4,16,11,6,7,26,6,12,5,10,10,4
