TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT
1610612737,Atlanta Hawks,1150,1739,0.661,563,1277,0.441,190,453,0.419,122,324,0.377,154,381,0.404,674,1877,0.359,0,0,0,276,705,0.391
1610612738,Boston Celtics,872,1223,0.713,573,1180,0.486,321,784,0.409,108,259,0.417,89,217,0.41,820,2329,0.352,0,0,0,197,476,0.414
1610612751,Brooklyn Nets,1055,1623,0.65,397,959,0.414,153,418,0.366,124,321,0.386,113,313,0.361,648,1947,0.333,0,1,0,237,634,0.374
1610612766,Charlotte Hornets,1038,1599,0.649,491,1164,0.422,127,355,0.358,147,355,0.414,139,308,0.451,788,2174,0.362,2,3,0.667,286,663,0.431
1610612741,Chicago Bulls,1287,2055,0.626,451,1011,0.446,112,279,0.401,133,376,0.354,140,334,0.419,702,1979,0.355,1,1,1,273,710,0.385
1610612739,Cleveland Cavaliers,1143,1691,0.676,563,1203,0.468,212,464,0.457,125,312,0.401,118,335,0.352,733,2060,0.356,0,1,0,243,647,0.376
1610612742,Dallas Mavericks,1132,1726,0.656,648,1393,0.465,304,756,0.402,113,343,0.329,118,305,0.387,478,1443,0.331,0,1,0,231,648,0.356
1610612743,Denver Nuggets,1052,1550,0.679,588,1221,0.482,310,699,0.443,130,306,0.425,116,293,0.396,670,1749,0.383,2,2,1,246,599,0.411
1610612765,Detroit Pistons,1325,1971,0.672,574,1351,0.425,224,533,0.42,92,283,0.325,130,330,0.394,501,1466,0.342,1,1,1,222,613,0.362
1610612744,Golden State Warriors,1040,1501,0.693,419,958,0.437,180,463,0.389,166,425,0.391,153,391,0.391,756,2189,0.345,1,1,1,319,816,0.391
1610612745,Houston Rockets,1052,1599,0.658,677,1459,0.464,338,826,0.409,106,284,0.373,138,338,0.408,495,1410,0.351,1,2,0.5,244,622,0.392
1610612754,Indiana Pacers,998,1539,0.648,534,1198,0.446,296,744,0.398,79,247,0.32,127,340,0.374,653,1917,0.341,0,0,0,206,587,0.351
1610612746,LA Clippers,1034,1450,0.713,583,1280,0.455,221,524,0.422,140,312,0.449,103,276,0.373,567,1641,0.346,0,0,0,243,588,0.413
1610612747,Los Angeles Lakers,1087,1480,0.734,619,1251,0.495,266,595,0.447,113,322,0.351,86,254,0.339,601,1654,0.363,0,1,0,199,576,0.345
1610612763,Memphis Grizzlies,967,1501,0.644,667,1423,0.469,221,529,0.418,120,349,0.344,122,283,0.431,660,1901,0.347,0,0,0,242,632,0.383
1610612748,Miami Heat,1207,1860,0.649,622,1441,0.432,187,484,0.386,144,383,0.376,99,286,0.346,657,1824,0.36,1,2,0.5,243,669,0.363
1610612749,Milwaukee Bucks,1028,1474,0.697,378,897,0.421,319,752,0.424,175,391,0.448,139,329,0.422,633,1737,0.364,0,0,0,314,720,0.436
1610612750,Minnesota Timberwolves,1185,1709,0.693,498,1088,0.458,254,606,0.419,128,342,0.374,118,303,0.389,682,1855,0.368,0,2,0,246,645,0.381
1610612740,New Orleans Pelicans,1518,2376,0.639,434,1157,0.375,146,419,0.348,106,267,0.397,98,256,0.383,557,1675,0.333,0,1,0,204,523,0.39
1610612752,New York Knicks,1128,1707,0.661,484,1077,0.449,299,691,0.433,171,403,0.424,184,429,0.429,636,1826,0.348,0,0,0,355,832,0.427
1610612760,Oklahoma City Thunder,1121,1641,0.683,530,1133,0.468,302,638,0.473,126,368,0.342,100,251,0.398,687,1920,0.358,0,0,0,226,619,0.365
1610612753,Orlando Magic,1213,1825,0.665,472,1162,0.406,226,563,0.401,131,327,0.401,111,294,0.378,519,1580,0.328,1,1,1,242,621,0.39
1610612755,Philadelphia 76ers,1233,1939,0.636,403,992,0.406,267,649,0.411,99,291,0.34,97,249,0.39,630,1813,0.347,1,1,1,196,540,0.363
1610612756,Phoenix Suns,888,1323,0.671,551,1244,0.443,303,712,0.426,132,332,0.398,106,268,0.396,759,2145,0.354,1,2,0.5,238,600,0.397
1610612757,Portland Trail Blazers,1257,1877,0.67,363,937,0.387,155,404,0.384,116,335,0.346,117,384,0.305,727,2116,0.344,0,0,0,233,719,0.324
1610612758,Sacramento Kings,939,1358,0.691,745,1628,0.458,420,1000,0.42,107,291,0.368,67,211,0.318,496,1498,0.331,0,0,0,174,502,0.347
1610612759,San Antonio Spurs,1215,1803,0.674,460,1015,0.453,257,569,0.452,152,394,0.386,164,427,0.384,580,1680,0.345,0,0,0,316,821,0.385
1610612761,Toronto Raptors,1165,1719,0.678,542,1255,0.432,315,712,0.442,114,291,0.392,111,295,0.376,530,1598,0.332,0,1,0,225,586,0.384
1610612762,Utah Jazz,1004,1500,0.669,719,1478,0.486,223,584,0.382,152,390,0.39,121,322,0.376,594,1778,0.334,0,0,0,273,712,0.383
1610612764,Washington Wizards,1089,1599,0.681,461,1176,0.392,317,744,0.426,95,246,0.386,102,254,0.402,642,1865,0.344,0,0,0,197,500,0.394
