TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,31,15,16,0.484,48.3,43.6,90.4,0.483,14,38.1,0.369,17.5,22.3,0.786,10,31.6,41.6,31.1,15.2,9.2,5,4.5,20.6,19.2,118.8,-0.8,3,16,18,17,19,4,14,7,11,13,5,25,25,16,27,22,25,1,18,5,12,13,13,27,12,17
1610612738,Boston Celtics,29,18,11,0.621,48,42.7,90.8,0.47,15.6,42.9,0.362,15.1,19.2,0.786,12.6,31.4,44.1,23.9,12,8.2,5.4,4.3,22,19.2,116,6,21,8,8,9,27,11,9,15,2,3,12,29,30,14,6,23,18,28,1,18,7,11,23,26,17,7
1610612751,Brooklyn Nets,28,9,19,0.321,48,37.9,85,0.446,14.3,41.4,0.346,19.1,24.3,0.786,10.9,29.7,40.6,25.7,16,7.3,4.2,4.4,20.3,21,109.3,-4.6,27,25,22,25,27,30,28,28,7,4,24,19,16,15,19,29,29,19,26,26,24,12,9,18,29,25
1610612766,Charlotte Hornets,30,10,20,0.333,48.5,40.7,89.5,0.455,14.7,41,0.359,19.4,23.7,0.816,11.7,32.7,44.4,26.3,15.9,7.2,4.9,4.3,19.3,21.4,115.4,-3.4,9,23,24,24,7,25,18,24,6,5,16,16,22,5,15,12,16,14,25,28,13,9,3,13,19,21
1610612741,Chicago Bulls,29,14,15,0.483,48.3,43.5,91,0.478,14.1,38.6,0.366,18.7,23.8,0.783,10.5,34.7,45.2,29.4,15.1,8.1,4.7,5.8,19.8,20,119.7,-3.3,21,18,14,18,12,6,8,11,9,10,10,22,19,18,22,3,8,4,17,20,17,28,5,22,8,20
1610612739,Cleveland Cavaliers,32,17,15,0.531,48.3,43,92.6,0.465,15.3,43.6,0.351,18.8,24.1,0.782,12.3,32.2,44.5,27.7,13.9,8.8,4.9,4.2,21.3,21.2,120.2,2.4,1,11,14,14,20,10,1,19,3,2,20,20,18,21,10,18,13,9,6,9,14,7,20,14,6,9
1610612742,Dallas Mavericks,32,12,20,0.375,48.8,41.8,89.2,0.468,10.8,32.3,0.333,19.3,25.5,0.758,10.1,34.3,44.4,25.1,15.4,7.9,6,4.7,20.3,21.6,113.7,-3.9,1,20,24,22,3,16,20,17,29,26,28,17,10,26,26,5,14,23,21,23,3,17,10,11,23,23
1610612743,Denver Nuggets,30,22,8,0.733,48.5,45.4,88.5,0.513,14.2,34.9,0.408,20.8,25.2,0.824,10.3,33.8,44.1,29.8,13.4,7.3,3.8,4.6,19.3,21.7,125.8,8.6,9,4,4,4,7,1,25,1,8,21,1,7,14,3,23,7,17,3,3,27,28,14,2,9,1,2
1610612765,Detroit Pistons,30,24,6,0.8,48.3,43.6,91,0.479,10.9,31.6,0.345,21.1,28.4,0.743,14.4,32.8,47.1,26.6,15.6,10,6.1,5.6,23.2,23.2,119.2,6.9,9,2,2,2,14,5,6,8,27,27,25,6,3,29,2,11,2,11,22,3,1,25,30,2,10,6
1610612744,Golden State Warriors,31,16,15,0.516,48.2,40,88.5,0.452,15.8,44,0.36,18.8,23,0.817,11.6,32.4,44,28,16,9.6,4.4,4.2,20.9,19,114.5,2.2,3,13,14,15,25,27,24,26,1,1,13,21,24,4,16,17,19,8,27,4,20,5,18,29,22,11
